sn,inspection_result,sta1_arr,sta1_dep,sta2_arr,sta2_dep,sta3_arr,sta3_dep,sta4_arr,sta4_dep,sta6_arr,sta6_dep
1,2,1004,2304,2636,5247,6919,8119,8386,9528,0,525
2,2,4211,7091,7421,10031,11722,12928,13196,14338,549,3728
3,2,8991,11887,12216,14818,16490,17687,17955,19103,3750,8508
4,2,13778,16657,16990,19588,21267,22467,22732,23875,8532,13300
5,2,18550,21427,21757,24358,26041,27244,27512,28658,13325,18074
6,2,23320,26209,26540,29144,30821,32025,32293,33439,18096,22843
7,2,28103,30986,31319,33921,35602,36800,37068,38208,22868,27625
8,2,32882,35772,36101,38708,40389,41590,41858,43002,27647,32406
9,2,37667,40557,40887,43492,45176,46380,46646,47794,32429,37189
10,2,42454,45341,45673,48282,49974,51179,51447,52593,37213,41974
11,2,47240,50132,50461,53068,54749,55946,56212,57364,41996,46757
12,2,52028,54919,55252,57861,59540,60735,61003,62153,46779,51548
13,2,56821,59701,60030,62636,64317,65515,65782,66930,51573,56340
14,2,61596,64482,64814,67422,69106,70304,70570,71724,56363,61118
15,2,66380,69272,69604,72205,73882,75087,75355,76499,61141,65901
16,2,71164,74043,74374,76978,78659,79865,80131,81281,65923,70688
17,2,75937,78827,79157,81761,83441,84642,84908,86056,70713,75461
18,2,80724,83607,83937,86546,88228,89434,89702,90849,75483,80246
19,2,85506,88391,88721,91325,93016,94218,94485,95635,80271,85025
20,2,90286,93177,93508,96123,97807,99011,99277,100429,85047,89810
21,2,95083,97974,98303,100910,102589,103788,104054,105208,89833,94599
22,2,99870,102750,103080,105694,107374,108578,108844,109988,94622,99391
23,2,104650,107546,107879,110487,112164,113368,113637,114783,99414,104170
24,2,109446,112327,112658,115263,116944,118149,118417,119561,104192,108968
25,2,114222,117111,117444,120050,121733,122934,123200,124352,108992,113743
26,2,119012,121901,122232,124835,126516,127710,127978,129120,113767,118534
27,2,123795,126684,127017,129622,131302,132505,132773,133921,118555,123318
28,2,128584,131465,131797,134402,136083,137284,137552,138702,123343,128107
29,2,133364,136248,136580,139183,140852,142053,142321,143473,128131,132885
30,2,138145,141019,141351,143960,145643,146841,147109,148259,132907,137668
