t,cpuusage,tasktime
1,24,38
2,15,40
3,15,38
4,11,38
5,11,37
6,12,39
7,14,40
8,17,40
9,12,36
10,12,40
11,12,41
12,15,40
13,13,41
14,16,39
15,14,40
16,13,40
17,12,40
18,17,41
19,13,39
20,11,39
21,8,41
22,12,41
23,11,41
24,12,41
25,17,39
26,12,39
27,12,38
28,13,37
29,11,41
30,15,38
31,14,40
32,12,37
33,15,40
34,13,40
35,14,39
36,15,39
37,14,38
38,10,40
39,12,39
40,9,40
41,11,39
42,11,37
43,16,39
44,15,38
45,18,38
46,14,40
47,12,34
48,12,39
49,12,34
50,12,40
51,13,39
52,10,36
53,12,39
54,12,40
55,15,40
56,15,40
57,15,36
58,12,36
59,14,34
60,9,33
61,9,35
62,11,32
63,9,38
64,17,38
65,11,39
66,14,40
67,17,40
68,16,40
69,14,39
70,15,38
71,12,32
72,9,32
73,10,35
74,14,38
75,15,38
76,13,38
77,13,38
78,13,21
79,11,37
80,12,40
81,13,39
82,14,36
83,14,39
84,13,37
85,15,34
86,8,35
87,8,37
88,10,40
89,15,36
90,16,39
91,17,37
92,11,36
93,14,35
94,16,37
95,10,34
96,8,39
97,16,38
98,16,40
99,16,40
100,15,37
101,12,35
102,13,39
103,16,40
104,11,43
105,14,33
106,8,38
107,15,39
108,14,38
109,15,36
110,12,36
111,14,39
112,14,40
113,18,33
114,10,38
115,10,37
116,13,38
117,12,39
118,13,37
119,14,36
120,11,34
121,11,36
122,15,39
123,13,39
124,13,37
125,13,39
126,15,36
127,12,41
128,19,35
129,12,38
130,12,23
131,7,39
132,12,40
133,14,40
134,15,38
135,15,38
136,11,31
137,10,34
138,11,37
139,14,40
140,14,40
141,16,40
142,14,37
143,16,36
144,12,35
145,10,38
146,13,40
147,12,39
148,13,40
149,11,32
150,12,34
151,11,38
152,12,39
153,14,37
154,11,40
155,14,38
156,16,36
157,14,40
158,14,40
159,16,39
160,18,39
161,15,39
162,13,37
163,13,39
164,12,38
165,13,40
166,14,38
167,11,36
168,9,40
169,15,40
170,13,39
171,11,41
172,15,38
173,14,38
174,14,40
175,18,33
176,8,35
177,10,40
178,16,36
179,7,37
180,14,39
181,13,37
182,13,38
183,15,39
184,16,39
185,17,39
186,16,38
187,15,35
188,12,35
189,14,39
190,11,38
191,11,35
192,12,34
193,10,32
194,9,33
195,10,34
196,9,36
197,12,36
198,15,40
199,14,40
200,15,38
201,15,37
202,14,33
203,10,35
204,10,34
205,11,33
206,11,35
207,11,39
208,12,36
209,12,36
210,12,38
211,12,39
212,14,33
213,9,38
214,12,34
215,10,37
216,11,38
217,13,40
218,11,36
219,11,36
220,11,38
221,14,37
222,12,22
223,9,38
224,13,40
225,14,36
226,10,22
227,13,35
228,11,38
229,13,36
230,13,39
231,11,34
232,9,34
233,11,38
234,12,36
235,16,36
236,9,34
237,9,38
238,12,36
239,17,35
240,14,35
241,15,33
242,10,38
243,14,38
244,13,39
245,15,34
246,8,38
247,15,39
248,13,36
249,11,38
250,14,34
251,9,35
252,8,38
253,12,31
254,8,37
255,10,37
256,13,38
257,15,35
258,10,36
259,9,36
260,11,34
261,12,35
262,13,34
263,9,36
264,10,37
265,14,37
266,14,38
267,12,38
268,14,36
269,11,33
270,9,38
271,13,36
272,11,38
273,11,36
274,9,35
275,9,36
276,10,39
277,12,37
278,15,37
279,11,36
280,14,36
281,9,38
282,13,39
283,15,33
284,9,35
285,12,33
286,10,35
287,9,35
288,9,38
289,14,26
290,12,37
291,12,38
292,13,38
293,14,36
294,13,36
295,11,40
296,14,39
297,13,35
298,14,37
299,12,35
300,10,40
301,14,38
302,14,38
303,13,38
304,14,38
305,13,36
306,14,38
307,14,37
308,14,39
309,14,38
310,14,38
311,14,36
312,9,33
313,13,38
314,13,41
315,13,38
316,12,36
317,14,39
318,15,34
319,13,26
320,8,39
321,18,40
322,17,34
323,9,34
324,8,35
325,12,37
326,18,36
327,10,34
328,9,39
329,15,38
330,13,38
331,13,36
332,13,37
333,12,38
334,12,34
335,13,38
336,12,37
337,18,39
338,14,36
339,12,36
340,10,34
341,9,39
342,13,37
343,14,40
344,20,37
345,13,33
346,15,37
347,13,39
348,15,34
349,16,38
350,13,38
351,12,36
352,13,36
353,13,38
354,11,36
355,13,34
356,14,34
357,9,36
358,14,38
359,14,38
360,11,34
361,13,38
362,10,35
363,11,35
364,13,39
365,17,38
366,15,36
367,10,35
368,12,34
369,9,33
370,10,36
371,13,40
372,13,37
373,10,35
374,10,39
375,15,40
376,16,41
377,19,38
378,12,40
379,14,39
380,11,39
381,17,40
382,15,36
383,14,38
384,13,40
385,14,39
386,17,39
387,20,40
388,15,40
389,16,38
390,13,39
391,12,39
392,16,38
393,14,38
394,14,38
395,13,36
396,11,37
397,13,40
398,13,36
399,11,37
400,11,36
401,9,38
402,13,41
403,13,38
404,15,40
405,16,38
406,15,37
407,15,40
408,13,34
409,14,36
410,15,37
411,10,35
412,8,40
413,15,40
414,14,38
415,14,38
416,13,33
417,16,39
418,15,39
419,14,39
420,16,34
421,9,39
422,14,36
423,14,24
424,8,40
425,17,36
426,13,35
427,11,38
428,14,38
429,12,36
430,13,40
431,11,35
432,8,33
433,10,32
434,9,39
435,14,38
436,12,33
437,9,39
438,14,35
439,13,38
440,13,34
441,9,34
442,9,32
443,10,40
444,15,37
445,13,38
446,13,36
447,13,38
448,16,32
449,9,35
450,9,37
451,10,34
452,15,35
453,13,36
454,11,40
455,13,34
456,10,40
457,15,40
458,16,40
459,12,38
460,13,39
461,13,38
462,15,39
463,15,36
464,13,37
465,13,25
466,9,38
467,14,37
468,10,40
469,14,36
470,10,36
471,11,37
472,12,39
473,16,39
474,13,32
475,13,36
476,9,35
477,11,36
478,13,40
479,14,38
480,12,36
481,9,36
482,11,38
483,14,41
484,14,37
485,12,39
486,13,34
487,11,33
488,10,40
489,15,36
490,14,39
491,13,37
492,13,35
493,11,37
494,9,36
495,10,34
496,9,39
497,15,38
498,15,41
499,18,38
500,13,32
501,9,40
502,14,38
503,11,37
504,10,35
505,16,27
506,14,40
507,15,32
508,9,32
509,9,36
510,8,36
511,13,37
512,11,37
513,12,33
514,11,37
515,11,37
516,12,38
517,14,38
518,13,38
519,14,38
520,15,40
521,13,37
522,13,32
523,9,40
524,12,37
525,16,37
526,14,34
527,9,34
528,9,36
529,12,39
530,14,33
531,11,39
532,11,36
533,12,40
534,13,40
535,13,38
536,13,38
537,14,36
538,13,34
539,9,33
540,12,40
541,14,38
542,14,33
543,15,32
544,8,37
545,9,35
546,16,37
547,12,37
548,12,38
549,13,37
550,13,34
551,13,38
552,13,38
553,14,39
554,15,38
555,13,36
556,10,40
557,13,37
558,13,37
559,13,37
560,13,40
561,14,38
562,18,39
563,15,37
564,9,38
565,13,32
566,9,33
567,11,34
568,12,38
569,15,34
570,9,36
571,13,37
572,13,39
573,15,36
574,10,33
575,10,36
576,18,33
577,11,37
578,15,35
579,12,32
580,10,37
581,13,39
582,12,41
583,16,38
584,15,39
585,14,38
586,16,37
587,14,39
588,14,34
589,7,36
590,8,38
591,10,34
592,12,36
593,15,35
594,10,35
595,10,37
596,10,39
597,13,38
598,13,35
599,9,35
600,9,36
601,16,39
602,12,39
603,12,38
604,15,34
605,13,40
606,12,36
607,11,36
608,10,39
609,13,33
610,15,37
611,13,38
612,14,36
613,13,38
614,9,37
615,14,37
616,14,39
617,12,36
618,11,40
619,14,33
620,12,32
621,9,24
622,10,40
623,18,36
624,10,37
625,17,35
626,13,40
627,14,34
628,9,36
629,12,40
630,15,35
631,15,40
632,15,37
633,14,35
634,12,41
635,13,36
636,9,37
637,12,38
638,13,39
639,15,35
640,12,36
641,10,35
642,9,34
643,10,37
644,14,38
645,15,35
646,9,38
647,14,38
648,12,39
649,16,39
650,14,36
651,12,39
652,15,37
653,13,37
654,11,37
655,13,32
656,10,33
657,11,39
658,13,38
659,12,38
660,14,38
661,12,35
662,13,38
663,15,36
664,12,37
665,12,39
666,13,37
667,10,37
668,14,39
669,14,34
670,12,38
671,12,39
672,14,36
673,11,38
674,13,37
675,15,40
676,14,38
677,12,39
678,13,39
679,14,39
680,16,38
681,12,37
682,15,37
683,11,40
684,13,39
685,12,38
686,14,38
687,14,39
688,13,40
689,14,36
690,12,38
691,15,38
692,14,34
693,10,36
694,11,38
695,14,35
696,14,38
697,13,36
698,14,39
699,13,39
700,14,39
701,15,37
702,15,39
703,14,38
704,15,36
705,13,38
706,15,40
707,13,40
708,14,37
709,13,38
710,12,38
711,14,39
712,12,40
713,11,35
714,11,38
715,14,34
716,10,39
717,12,41
718,16,39
719,16,42
720,13,40
721,14,34
722,13,40
723,12,41
724,9,33
725,9,37
726,11,38
727,9,37
728,11,33
729,9,38
730,18,41
731,20,39
732,20,41
733,14,35
734,11,30
735,9,40
736,14,38
737,14,35
738,11,40
739,13,38
740,14,36
741,13,34
742,10,34
743,10,38
744,10,34
745,12,37
746,14,38
747,15,33
748,11,39
749,15,38
750,15,38
751,13,39
752,15,39
753,14,39
754,15,36
755,13,35
756,14,36
757,11,38
758,13,36
759,11,41
760,13,37
761,15,39
762,14,36
763,10,38
764,14,34
765,10,35
766,7,36
767,13,32
768,7,35
769,9,40
770,14,34
771,9,31
772,9,34
773,9,33
774,10,34
775,10,39
776,16,40
777,18,39
778,12,35
779,10,35
780,10,36
781,10,39
782,13,40
783,15,38
784,15,37
785,13,39
786,15,39
787,15,40
