sn,inspection_result,sta1_arr,sta1_dep,sta2_arr,sta2_dep,sta3_arr,sta3_dep,sta4_arr,sta4_dep,sta6_arr,sta6_dep
1,2,1008,2312,2645,5251,6917,8121,8388,9535,0,524
2,2,4211,7083,7415,10019,11700,12906,13174,14316,549,3730
3,2,8977,11867,12200,14808,16490,17691,17959,19106,3753,8496
4,2,13769,16659,16991,19595,21273,22475,22744,23895,8519,13288
5,2,18555,21433,21765,24373,26042,27242,27510,28654,13310,18074
6,2,23332,26209,26541,29149,30829,32035,32301,33445,18097,22852
7,2,28110,30998,31329,33935,35605,36812,37080,38224,22875,27628
8,2,32896,35773,36104,38710,40390,41589,41857,43001,27651,32415
9,2,37668,40557,40888,43495,45163,46366,46634,47783,32439,37188
10,2,42457,45333,45665,48267,49944,51148,51416,52562,37213,41973
11,2,47229,50103,50434,53044,54713,55917,56183,57329,41997,46748
12,2,52002,54882,55214,57820,59513,60714,60984,62128,46771,51521
13,2,56781,59673,60004,62602,64282,65489,65755,66900,51544,56299
14,2,61567,64446,64779,67387,69069,70273,70541,71687,56322,61090
15,2,66348,69238,69568,72176,73858,75060,75328,76474,61113,65868
16,2,71134,74026,74357,76963,78644,79846,80113,81264,65892,70653
17,2,75924,78808,79139,81746,83427,84629,84897,86047,70675,75447
18,2,80708,83592,83924,86532,88215,89409,89674,90827,75470,80224
19,2,85491,88380,88710,91318,92994,94188,94456,95604,80248,85010
20,2,90278,93156,93488,96087,97770,98964,99231,100384,85035,89795
21,2,95050,97938,98271,100878,102569,103769,104037,105181,89817,94573
22,2,99840,102728,103060,105664,107341,108545,108813,109963,94596,99359
23,2,104629,107502,107833,110440,112122,113330,113597,114740,99382,104150
24,2,109400,112292,112621,115228,116906,118103,118371,119522,104172,108918
25,2,114190,117068,117402,120009,121699,122901,123169,124321,108944,113709
26,2,118970,121857,122190,124794,126476,127680,127948,129088,113733,118489
27,2,123756,126645,126976,129591,131281,132479,132747,133887,118512,123275
28,2,128550,131444,131778,134383,136069,137269,137536,138677,123300,128066
29,2,133347,136231,136563,139167,140850,142050,142320,143466,128090,132866
30,2,138131,141015,141346,143947,145629,146829,147095,148245,132889,137650
31,2,142909,145801,146130,148740,150408,151606,151872,153015,137673,142432
32,2,147699,150575,150907,153514,155184,156388,156655,157808,142455,147218
33,2,152474,155353,155685,158294,159973,161177,161445,162595,147240,151992
34,2,157252,160135,160467,163074,164755,165956,166222,167372,152016,156770
35,2,162036,164919,165252,167856,169538,170735,171003,172151,156793,161553
36,2,166818,169704,170034,172646,174331,175533,175800,176941,161577,166337
37,2,171605,174492,174824,177433,179120,180324,180589,181730,166362,171121
38,2,176394,179286,179615,182224,183907,185113,185381,186531,171145,175911
39,2,181184,184069,184401,187010,188689,189888,190156,191298,175934,180700
40,2,185972,188848,189180,191786,193466,194664,194931,196080,180722,185487
41,2,190747,193627,193959,196565,198251,199459,199726,200867,185510,190263
42,2,195525,198418,198749,201352,203030,204230,204497,205648,190286,195045
43,2,200315,203195,203526,206130,207821,209014,209282,210427,195070,199835
44,2,205092,207984,208314,210922,212606,213803,214071,215216,199857,204612
45,2,209884,212772,213105,215718,217401,218605,218871,220015,204635,209401
46,2,214674,217566,217898,220508,222186,223380,223646,224795,209425,214193
47,2,219466,222350,222681,225284,226968,228172,228439,229584,214218,218986
48,2,224244,227129,227459,230064,231749,232953,233221,234364,219009,223765
49,2,229025,231917,232249,234853,236535,237732,238000,239147,223789,228547
50,2,233813,236702,237033,239634,241314,242512,242781,243922,228569,233332
51,2,238598,241472,241804,244414,246095,247301,247566,248711,233355,238118
