t,cpuusage,tasktime
1,19,40
2,16,42
3,14,43
4,12,41
5,21,42
6,13,160
7,19,41
8,13,43
9,18,43
10,14,40
11,12,42
12,15,41
13,17,44
14,14,41
15,17,41
16,13,43
17,15,42
18,12,42
19,14,44
20,13,41
21,12,42
22,14,42
23,18,42
24,15,41
25,15,42
26,12,42
27,15,42
28,13,43
29,16,41
30,17,40
31,16,43
32,16,41
33,14,41
34,14,44
35,15,41
36,18,42
37,12,42
38,15,41
39,15,42
40,14,40
41,17,41
42,16,42
43,15,42
44,14,40
45,14,42
46,16,41
47,12,43
48,16,43
49,16,41
50,16,41
51,14,42
52,16,41
53,14,41
54,20,42
55,15,40
56,17,40
57,17,37
58,14,38
59,10,37
60,15,39
61,11,36
62,10,38
63,10,37
64,11,35
65,11,38
66,16,37
67,11,38
68,11,38
69,14,41
70,14,39
71,13,39
72,13,42
73,16,41
74,13,41
75,13,43
76,15,42
77,13,41
78,13,43
79,20,41
80,14,40
81,15,42
82,15,42
83,14,40
84,19,41
85,14,42
86,15,44
87,16,42
88,15,38
89,20,42
90,15,41
91,17,40
92,12,43
93,14,40
94,12,40
95,11,38
96,12,40
97,11,37
98,13,41
99,12,42
100,11,41
101,13,42
102,18,40
103,14,40
104,14,41
105,12,40
106,11,40
107,11,37
108,11,40
109,15,39
110,13,41
111,12,41
112,13,42
113,15,42
114,15,39
115,12,39
116,12,39
117,12,41
118,12,41
119,12,40
120,13,41
121,12,39
122,12,42
123,14,42
124,20,42
125,15,44
126,16,40
127,14,37
128,14,32
129,11,38
130,18,36
131,12,40
132,12,39
133,12,41
134,12,42
135,16,39
136,14,39
137,11,42
138,16,44
139,15,43
140,16,40
141,17,40
142,16,41
143,14,40
144,14,42
145,14,43
146,15,42
147,15,42
148,14,42
149,14,40
150,15,40
151,15,43
152,14,42
153,16,42
154,15,41
155,14,41
156,14,41
157,15,41
158,15,40
159,18,40
160,15,42
161,15,42
162,15,43
163,14,40
164,16,42
165,15,41
166,14,42
167,15,42
168,14,42
169,15,42
170,16,43
171,14,42
172,16,40
173,18,41
174,14,40
175,15,41
176,14,40
177,14,40
178,16,40
179,14,41
180,14,40
181,15,39
182,14,39
183,18,39
184,14,40
185,15,41
186,16,41
187,14,41
188,14,40
189,15,40
190,13,40
191,14,40
192,14,40
193,14,39
194,15,40
195,17,42
196,15,41
197,16,42
198,19,40
199,16,42
200,17,40
201,14,38
202,13,39
203,14,43
204,14,41
205,14,39
206,14,42
207,14,39
208,15,36
209,13,37
210,12,40
211,14,39
212,13,42
213,14,42
214,14,39
215,16,42
216,15,41
217,15,42
218,15,43
219,15,42
220,14,40
221,15,40
222,12,41
223,13,40
224,14,40
225,14,38
226,14,42
227,13,40
228,14,41
229,14,44
230,15,41
231,15,41
232,17,41
233,16,40
234,12,41
235,14,42
236,15,42
237,15,40
238,14,40
239,14,38
240,11,42
241,14,39
242,11,41
243,12,39
244,12,40
245,12,41
246,12,40
247,11,41
248,15,42
249,16,41
250,14,41
251,15,40
252,15,42
253,15,40
254,15,40
255,14,42
256,18,41
257,15,41
258,15,41
259,15,40
260,15,40
261,15,44
262,14,40
263,15,40
264,12,41
265,15,40
266,15,41
267,15,41
268,18,42
269,17,41
270,14,40
271,15,42
272,16,41
273,16,40
274,14,41
275,15,41
276,18,41
277,15,41
278,15,40
279,15,41
280,15,42
281,17,44
282,14,38
283,14,42
284,14,42
285,15,39
286,17,40
287,15,43
288,14,41
289,12,40
290,12,42
291,14,39
292,13,41
293,14,42
294,13,40
295,16,43
296,15,41
297,15,41
298,20,42
299,18,41
300,16,40
301,17,41
302,17,41
303,16,41
304,16,42
305,16,41
306,15,41
307,14,44
308,14,41
309,15,41
310,14,40
311,14,41
312,15,41
313,16,42
314,15,42
315,15,41
316,17,40
317,17,41
318,18,42
319,18,41
320,19,44
321,16,43
322,15,39
323,16,41
324,17,41
325,17,42
326,16,42
327,18,41
328,15,41
329,18,41
330,16,37
331,11,36
332,11,36
333,13,40
334,11,38
335,10,36
336,11,40
337,12,40
338,14,40
339,12,43
340,20,43
341,13,41
342,12,43
343,13,41
344,13,38
345,16,37
346,12,40
347,12,41
348,12,41
349,14,41
350,16,42
351,17,42
352,17,43
353,16,42
354,15,43
355,17,43
356,14,43
357,15,42
358,14,42
359,17,42
360,14,43
361,15,43
362,15,42
363,17,41
364,15,40
365,15,42
366,15,41
367,14,40
368,13,41
369,14,42
370,13,40
371,14,40
372,13,44
373,14,41
374,14,39
375,13,42
376,14,43
377,16,41
378,17,39
379,16,43
380,16,41
381,15,42
382,15,40
383,15,42
384,17,40
385,17,43
386,15,41
387,14,40
388,15,40
389,14,42
390,13,41
391,17,42
392,16,37
393,10,40
394,11,40
395,14,38
396,13,39
397,13,38
398,15,42
399,11,38
400,10,40
401,16,40
402,15,39
403,15,40
404,16,40
405,10,40
406,11,40
407,11,38
408,16,40
409,10,34
410,10,42
411,15,42
412,21,39
413,11,38
414,11,38
415,13,39
416,14,40
417,11,38
418,14,41
419,13,40
420,12,41
421,15,40
422,13,38
423,12,40
424,12,44
425,14,41
426,14,40
427,14,41
428,20,40
429,11,40
430,16,45
431,12,40
432,11,41
433,11,39
434,11,39
435,11,40
436,11,39
437,11,40
438,11,40
439,13,39
440,16,39
441,14,39
442,12,38
443,11,39
444,11,39
445,11,40
446,12,40
447,12,38
448,11,36
449,12,36
450,12,40
451,11,38
452,12,40
453,12,40
454,13,41
455,13,41
456,13,40
457,12,39
458,12,42
459,13,39
460,12,41
461,15,43
462,17,42
463,15,41
464,16,40
465,16,41
466,14,39
467,15,39
468,11,40
469,11,38
470,12,40
471,11,42
472,15,39
473,14,41
474,15,41
475,15,41
476,16,41
477,16,42
478,14,43
479,15,42
480,15,40
481,17,41
482,12,39
483,12,40
484,12,39
485,13,41
486,14,42
487,18,40
488,14,42
489,14,42
490,15,40
491,10,40
492,14,41
493,14,39
494,15,40
495,14,40
496,13,40
497,13,39
498,11,35
499,11,37
500,11,38
501,10,37
502,10,39
503,10,38
504,10,37
505,10,40
506,19,40
507,13,40
508,11,37
509,9,38
510,8,36
511,10,37
512,9,35
513,9,37
514,10,39
515,11,41
516,9,38
517,10,36
518,11,36
519,13,43
520,11,40
521,14,40
522,13,40
523,13,40
524,14,42
525,12,41
526,14,42
527,14,41
528,18,41
529,13,39
530,14,41
531,14,42
532,14,41
533,12,41
534,14,40
535,16,40
536,11,38
537,11,41
538,11,40
