timestamp,cpu_timer_user,cpu_timer_sys,cpu_timer_idle,cpu_timer_nice,cpu_timer_iowait,cpu_timer_irq,cpu_timer_softirq,disk_counter_read_bytes,disk_counter_written_bytes,disk_counter_num_reads,disk_counter_num_writes,disk_timer_reading,disk_timer_writing,net_counter_bytes_rx,net_counter_bytes_tx,net_counter_packets_rx,net_counter_packets_tx,net_counter_error_rx,net_counter_error_tx,net_counter_dropped_rx,net_counter_dropped_tx,mem_available,mem_total
1503497275.6,135.72,207.8,2004829.05,0.6,92.57,0.0,46.07,303590400,194682880,24260,9721,356752,115748,39416347,1940467,200452,11973,0,0,0,0,29152841728,29503254528
1503497276.71,135.94,207.9,2004832.54,0.6,93.11,0.0,46.09,310860800,194723840,24525,9731,357452,115748,39570360,2048941,200987,12498,0,0,0,0,29142016000,
1503497277.81,136.13,208.0,2004836.02,0.6,93.68,0.0,46.14,321887232,194723840,24860,9731,358584,115748,39680393,2159769,201534,13052,0,0,0,0,29135831040,
1503497278.91,136.41,208.05,2004839.98,0.6,93.74,0.0,46.15,321887232,196001792,24860,9735,358584,115812,39746538,2210164,201838,13368,0,0,0,0,29132853248,
1503497280.02,136.42,208.06,2004844.37,0.6,93.74,0.0,46.15,321887232,196001792,24860,9735,358584,115812,39768219,2216818,201915,13465,0,0,0,0,29132734464,
1503497281.12,136.42,208.06,2004848.74,0.6,93.74,0.0,46.15,321887232,196001792,24860,9735,358584,115812,39789744,2223394,201990,13561,0,0,0,0,29132734464,
1503497282.22,136.43,208.06,2004853.12,0.6,93.74,0.0,46.15,321887232,197255168,24860,9844,358584,116300,39811269,2229904,202065,13656,0,0,0,0,29134077952,
1503497283.33,136.44,208.06,2004857.5,0.6,93.74,0.0,46.15,321887232,197287936,24860,9845,358584,116300,39832871,2236636,202141,13754,0,0,0,0,29134249984,
1503497284.43,136.45,208.07,2004861.86,0.6,93.76,0.0,46.15,321887232,197292032,24860,9846,358584,116324,39854475,2243146,202217,13849,0,0,0,0,29134249984,
1503497285.53,136.46,208.07,2004866.24,0.6,93.76,0.0,46.15,321887232,197292032,24860,9846,358584,116324,39876363,2249788,202293,13946,0,0,0,0,29134249984,
1503497286.64,136.49,208.07,2004870.62,0.6,93.76,0.0,46.15,321887232,197292032,24860,9846,358584,116324,39898044,2256520,202370,14044,0,0,0,0,29134249984,
1503497287.74,136.5,208.07,2004875.0,0.6,93.76,0.0,46.15,321887232,197292032,24860,9846,358584,116324,39919569,2263030,202445,14139,0,0,0,0,29134249984,
1503497288.84,136.5,208.09,2004879.37,0.6,93.76,0.0,46.15,321887232,197292032,24860,9846,358584,116324,39941094,2269606,202520,14235,0,0,0,0,29134249984,
1503497289.94,136.51,208.09,2004883.75,0.6,93.76,0.0,46.15,321887232,197292032,24860,9846,358584,116324,39962775,2276338,202597,14333,0,0,0,0,29134249984,
1503497291.05,136.52,208.09,2004888.13,0.6,93.76,0.0,46.15,321887232,197292032,24860,9846,358584,116324,39984300,2282848,202672,14428,0,0,0,0,29134249984,
1503497292.15,136.53,208.1,2004892.51,0.6,93.76,0.0,46.15,321887232,197292032,24860,9846,358584,116324,40006188,2289424,202748,14524,0,0,0,0,29134249984,
