sn,inspection_result,sta1_arr,sta1_dep,sta2_arr,sta2_dep,sta3_arr,sta3_dep,sta4_arr,sta4_dep,sta6_arr,sta6_dep
1,2,1006,2308,2636,5247,6918,8114,8382,9536,0,527
2,2,4204,7090,7418,10030,11714,12915,13181,14333,548,3725
3,2,8986,11882,12212,14824,16505,17705,17970,19123,3749,8507
4,2,13778,16676,17006,19616,21299,22502,22771,23922,8531,13300
5,2,18572,21470,21800,24410,26086,27282,27550,28700,13325,18093
6,2,23367,26251,26581,29198,30876,32081,32347,33501,18116,22889
7,2,28155,31040,31369,33980,35659,36860,37129,38276,22913,27672
8,2,32937,35831,36159,38765,40442,41642,41910,43056,27697,32458
9,2,37723,40606,40935,43545,45224,46419,46689,47837,32482,37246
10,2,42501,45390,45719,48325,49995,51196,51462,52608,37268,42024
11,2,47283,50166,50500,53114,54782,55987,56256,57397,42046,46807
12,2,52070,54953,55281,57888,59567,60767,61035,62184,46831,51590
13,2,56845,59738,60067,62680,64358,65554,65822,66964,51614,56370
14,2,61638,64522,64852,67465,69148,70345,70615,71765,56393,61159
15,2,66423,69314,69642,72254,73935,75134,75401,76544,61182,65940
16,2,71212,74106,74436,77042,78723,79920,80188,81334,65965,70732
17,2,75998,78894,79222,81831,83514,84709,84979,86123,70757,75523
18,2,80787,83682,84014,86620,88301,89501,89769,90911,75547,80308
19,2,85575,88474,88802,91408,93091,94288,94558,95699,80330,85100
20,2,90366,93263,93593,96201,97892,99089,99357,100499,85123,89888
21,2,95159,98054,98383,100991,102673,103876,104144,105288,89913,94677
22,2,99952,102840,103172,105784,107472,108678,108946,110088,94702,99474
23,2,104742,107635,107964,110585,112276,113473,113741,114885,99499,104261
24,2,109539,112438,112768,115378,117059,118262,118530,119676,104283,109050
25,2,114338,117230,117559,120167,121848,123054,123322,124466,109074,113858
26,2,119123,122021,122349,124957,126649,127855,128123,129273,113882,118648
27,2,123916,126811,127140,129748,131427,132634,132901,134046,118672,123438
28,2,128704,131588,131917,134530,136204,137400,137668,138812,123461,128227
29,2,133489,136370,136699,139310,140978,142181,142449,143597,128249,133008
30,2,138269,141150,141481,144090,145771,146970,147238,148384,133032,137790
31,2,143048,145941,146270,148878,150554,151758,152026,153171,137814,142568
32,2,147837,150720,151051,153661,155341,156545,156813,157958,142593,147359
33,2,152619,155511,155841,158450,160131,161337,161605,162748,147381,152141
34,2,157405,160303,160631,163246,164938,166144,166412,167558,152166,156930
35,2,162202,165101,165430,168041,169708,170917,171188,172331,156954,161724
36,2,166999,169881,170210,172818,174507,175701,175969,177119,161747,166520
37,2,171778,174671,175001,177610,179292,180492,180758,181907,166541,171299
38,2,176567,179462,179790,182397,184080,185281,185549,186697,171321,176088
39,2,181356,184251,184579,187190,188873,190068,190334,191472,176112,180877
40,2,186146,189040,189370,191976,193650,194852,195120,196263,180902,185666
41,2,190935,193819,194150,196754,198444,199647,199915,201062,185690,190456
42,2,195714,198607,198937,201550,203227,204428,204696,205840,190480,195236
43,2,200506,203391,203719,206328,208018,209216,209484,210632,195261,200027
44,2,205286,208181,208512,211120,212802,213993,214261,215401,200051,204810
45,2,210078,212973,213302,215912,217593,218792,219061,220214,204834,209601
46,2,214868,217763,218095,220703,222384,223584,223850,224999,209624,214393
47,2,219661,222557,222885,225501,227181,228381,228651,229802,214416,219181
