t,cpuusage,tasktime
1,12,41
2,20,40
3,13,42
4,17,40
5,11,41
6,12,40
7,13,41
8,17,42
9,11,40
10,15,38
11,12,41
12,12,39
13,11,41
14,16,40
15,15,41
16,17,41
17,13,41
18,15,232
19,18,44
20,17,41
21,14,40
22,15,40
23,17,41
24,15,42
25,15,42
26,14,41
27,17,39
28,16,41
29,14,42
30,15,42
31,17,42
32,15,39
33,16,40
34,14,40
35,13,42
36,16,43
37,17,41
38,15,42
39,12,42
40,15,40
41,12,41
42,14,40
43,14,40
44,13,40
45,13,42
46,19,43
47,21,42
48,13,41
49,16,40
50,13,42
51,15,40
52,18,43
53,13,41
54,13,39
55,12,41
56,16,41
57,12,41
58,16,38
59,13,40
60,15,38
61,13,39
62,13,40
63,13,40
64,12,42
65,12,41
66,12,41
67,12,38
68,12,39
69,13,39
70,16,39
71,14,40
72,13,41
73,13,41
74,16,40
75,16,43
76,16,41
77,16,41
78,17,40
79,12,43
80,14,40
81,13,42
82,13,40
83,13,40
84,13,38
85,13,40
86,13,40
87,13,39
88,13,38
89,13,42
90,17,39
91,16,38
92,11,38
93,13,41
94,13,38
95,13,38
96,13,41
97,12,43
98,13,40
99,13,42
100,15,42
101,15,40
102,9,40
103,15,42
104,13,38
105,13,39
106,14,41
107,13,39
108,12,42
109,12,41
110,13,42
111,15,41
112,11,40
113,12,41
114,13,42
115,13,40
116,12,38
117,13,41
118,15,42
119,15,40
120,19,41
121,20,40
122,15,42
123,20,40
124,15,41
125,11,42
126,12,40
127,12,40
128,14,38
129,11,41
130,16,41
131,15,39
132,12,39
133,11,40
134,14,39
135,14,39
136,13,40
137,15,43
138,14,41
139,16,41
140,15,40
141,13,40
142,14,40
143,14,42
144,13,40
145,19,41
146,14,42
147,15,41
148,13,40
149,15,41
150,14,42
151,17,39
152,18,42
153,22,41
154,16,42
155,14,40
156,14,42
157,15,41
158,14,42
159,14,41
160,15,41
161,16,40
162,15,39
163,16,42
164,14,41
165,15,41
166,15,42
167,14,39
168,13,42
169,14,43
170,13,41
171,16,40
172,16,41
173,13,41
174,18,42
175,16,41
176,16,40
177,16,42
178,14,41
179,15,44
180,16,41
181,14,40
182,13,40
183,13,41
184,15,38
185,14,42
186,22,42
187,15,40
188,12,40
189,13,42
190,14,41
191,15,40
192,16,42
193,13,40
194,15,42
195,15,40
196,14,41
197,15,42
198,13,41
199,15,42
200,21,41
201,16,41
202,15,40
203,16,42
204,16,41
205,17,41
206,14,40
207,16,40
208,15,42
209,12,42
210,13,39
211,15,35
212,9,42
213,11,39
214,16,41
215,12,41
216,12,41
217,15,42
218,15,42
219,15,42
220,14,42
221,14,42
222,15,40
223,14,41
224,17,39
225,17,41
226,14,40
227,14,40
228,16,41
229,15,37
230,11,39
231,10,38
232,11,38
233,12,41
234,15,42
235,15,40
236,16,42
237,15,42
238,15,40
239,15,41
240,15,43
241,15,41
242,16,42
243,17,41
244,15,42
245,14,41
246,16,42
247,15,42
248,17,41
249,16,41
250,15,40
251,15,42
252,20,40
253,10,40
254,12,41
255,11,41
256,11,42
257,14,42
258,13,42
259,16,40
260,14,44
261,16,42
262,14,40
263,16,40
264,15,40
265,14,41
266,15,41
267,18,40
268,11,40
269,10,39
270,11,40
271,12,42
272,21,42
273,13,42
274,15,40
275,14,40
276,13,41
277,12,40
278,14,37
279,10,36
280,15,35
281,10,40
282,14,41
283,17,41
284,14,40
285,10,36
286,12,40
287,12,38
288,11,39
289,12,37
290,12,41
291,13,39
292,12,37
293,10,38
294,12,41
295,14,42
296,16,41
297,16,41
298,17,43
299,16,42
300,14,39
301,13,41
302,11,39
303,14,41
304,11,40
305,10,40
306,12,41
307,13,37
308,11,40
309,16,40
310,12,39
311,11,39
312,12,42
313,14,43
314,15,41
315,15,42
316,20,40
317,15,40
318,16,41
319,15,41
320,15,42
321,15,42
322,14,40
323,12,40
324,11,40
325,12,42
326,11,40
327,13,40
328,14,40
329,14,40
330,14,40
331,12,40
332,11,41
333,14,40
334,12,40
335,14,45
336,14,40
337,16,40
338,15,43
339,15,41
340,13,39
341,14,42
342,14,41
343,15,44
344,14,41
345,14,42
346,15,41
347,15,42
348,13,41
349,15,42
350,15,42
351,15,43
352,16,41
353,17,42
354,16,41
355,16,42
356,14,41
357,14,39
358,15,38
359,13,40
360,13,40
361,14,40
362,11,41
363,11,42
364,15,42
365,14,40
366,12,41
367,12,42
368,11,42
369,13,42
370,12,40
371,12,41
372,12,42
373,14,43
374,15,43
375,15,42
376,14,42
377,21,42
378,11,40
379,12,39
380,11,41
381,11,40
382,12,40
