sn,inspection_result,sta1_arr,sta1_dep,sta2_arr,sta2_dep,sta3_arr,sta3_dep,sta4_arr,sta4_dep,sta6_arr,sta6_dep
1,2,1008,2318,2649,5259,6929,8134,8403,9548,0,526
2,2,4216,7101,7430,10032,11709,12911,13180,14328,551,3737
3,2,8990,11874,12204,14805,16482,17681,17948,19099,3760,8512
4,2,13766,16648,16978,19584,21264,22460,22729,23874,8538,13291
5,2,18546,21435,21764,24370,26063,27269,27538,28685,13314,18067
6,2,23324,26223,26551,29153,30832,32039,32307,33456,18091,22846
7,2,28113,31001,31330,33936,35617,36818,37085,38236,22868,27638
8,2,32894,35788,36118,38728,40410,41597,41864,43013,27663,32417
9,2,37683,40579,40911,43512,45190,46384,46653,47800,32440,37207
10,2,42473,45351,45681,48293,49973,51168,51436,52584,37232,41994
11,2,47251,50132,50462,53072,54740,55941,56209,57352,42018,46772
12,2,52030,54910,55241,57854,59523,60722,60991,62142,46796,51551
13,2,56811,59693,60023,62631,64315,65511,65780,66929,51576,56331
14,2,61589,64481,64811,67422,69090,70289,70557,71702,56355,61110
15,2,66378,69259,69588,72195,73873,75081,75350,76500,61133,65898
16,2,71154,74038,74367,76970,78650,79849,80117,81259,65921,70677
17,2,75929,78817,79146,81750,83429,84626,84897,86046,70702,75454
18,2,80710,83599,83929,86535,88215,89415,89682,90819,75476,80234
19,2,85497,88384,88713,91316,92996,94199,94465,95618,80259,85018
20,2,90275,93166,93496,96102,97785,98982,99251,100393,85043,89798
21,2,95063,97951,98280,100886,102568,103777,104046,105195,89821,94584
22,2,99846,102739,103068,105674,107354,108550,108821,109962,94609,99368
23,2,104631,107524,107853,110463,112131,113329,113598,114743,99393,104154
24,2,109420,112299,112628,115235,116915,118110,118379,119522,104178,108940
25,2,114196,117083,117412,120022,121692,122889,123156,124303,108965,113716
26,2,118980,121863,122192,124798,126468,127669,127939,129083,113739,118501
27,2,123754,126637,126966,129574,131255,132446,132713,133862,118525,123276
28,2,128530,131426,131755,134362,136042,137251,137520,138669,123300,128048
29,2,133319,136210,136538,139143,140822,142026,142295,143436,128073,132840
30,2,138102,140986,141314,143925,145605,146804,147072,148216,132863,137623
31,2,142882,145767,146097,148704,150384,151585,151852,152999,137648,142401
32,2,147661,150555,150883,153498,155180,156383,156651,157796,142425,147182
33,2,152457,155340,155669,158279,159955,161154,161420,162568,147206,151974
34,2,157235,160118,160447,163055,164724,165923,166192,167337,151997,156759
35,2,162013,164894,165223,167831,169514,170711,170978,172121,156785,161534
36,2,166791,169682,170013,172623,174304,175498,175767,176912,161556,166309
37,2,171582,174466,174794,177402,179095,180297,180564,181713,166333,171101
38,2,176360,179255,179583,182184,183868,185066,185335,186483,171126,175885
39,2,181145,184032,184361,186976,188658,189856,190125,191272,175909,180669
40,2,185934,188826,189156,191766,193443,194648,194916,196062,180693,185452
41,2,190722,193608,193937,196547,198230,199435,199703,200849,185476,190243
42,2,195506,198397,198726,201331,203009,204215,204483,205629,190266,195026
43,2,200288,203174,203503,206119,207799,209000,209269,210416,195050,199813
44,2,205072,207960,208289,210900,212576,213781,214050,215195,199838,204591
45,2,209859,212739,213070,215679,217350,218555,218821,219968,204614,209378
46,2,214636,217521,217849,220457,222139,223342,223611,224758,209403,214152
47,2,219415,222303,222633,225243,226925,228129,228398,229543,214178,218936
48,2,224201,227088,227418,230025,231704,232909,233178,234327,218959,223720
49,2,228984,231874,232203,234809,236492,237689,237955,239104,223744,228504
50,2,233767,236661,236990,239600,241281,242486,242755,243902,228529,233291
51,2,238560,241450,241780,244384,246067,247265,247534,248683,233315,238079
52,2,243344,246234,246563,249171,250852,252052,252321,253462,238103,242867
53,2,248128,251021,251350,253958,255638,256833,257102,258253,242890,247647
54,2,252917,255808,256137,258746,260438,261642,261911,263064,247672,252435
55,2,257703,260600,260931,263537,265219,266422,266690,267842,252459,257225
56,2,262494,265389,265722,268323,270002,271201,271469,272608,257249,262012
57,2,267284,270162,270491,273094,274775,275962,276233,277378,262036,266809
58,2,272051,274945,275276,277884,279565,280767,281036,282177,266834,271576
59,2,276843,279728,280059,282667,284348,285551,285819,286967,271600,276363
60,2,281623,284518,284847,287452,289133,290334,290602,291744,276387,281143
61,2,286411,289304,289632,292236,293916,295113,295382,296527,281166,285931
62,2,291197,294086,294415,297021,298702,299907,300173,301323,285956,290718
63,2,295979,298869,299199,301816,303493,304692,304961,306108,290741,295501
64,2,300774,303662,303992,306606,308287,309481,309750,310891,295525,300292
65,2,305560,308454,308783,311391,313072,314270,314539,315682,300317,305079
66,2,310347,313243,313573,316181,317863,319061,319328,320479,305103,309869
67,2,315141,318033,318361,320975,322656,323863,324129,325285,309893,314662
68,2,319931,322828,323157,325765,327445,328652,328920,330072,314687,319449
69,2,324724,327616,327945,330544,332215,333417,333684,334829,319472,324244
70,2,329502,332386,332714,335324,337008,338209,338478,339619,324268,329025
71,2,334281,337175,337505,340115,341785,342986,343255,344398,329049,333801
72,2,339071,341955,342287,344899,346581,347787,348058,349207,333825,338592
73,2,343857,346750,347079,349684,351370,352573,352841,353989,338617,343378
74,2,348643,351538,351867,354479,356157,357354,357622,358767,343403,348167
75,2,353437,356321,356652,359260,360928,362131,362400,363543,348190,352956
76,2,358218,361102,361430,364044,365714,366911,367179,368324,352980,357740
77,2,363000,365886,366214,368825,370509,371712,371980,373122,357764,362519
78,2,367782,370680,371010,373614,375293,376485,376754,377903,362543,367303
79,2,372572,375451,375782,378390,380070,381268,381537,382681,367327,372097
80,2,377348,380242,380572,383178,384861,386058,386327,387470,372120,376872
81,2,382135,385026,385355,387963,389648,390845,391112,392263,376897,381657
82,2,386920,389814,390147,392756,394438,395632,395901,397050,381681,386443
83,2,391715,394598,394929,397534,399219,400412,400680,401817,386467,391240
84,2,396493,399383,399712,402327,404006,405203,405473,406621,391263,396014
85,2,401282,404175,404504,407121,408799,410004,410272,411416,396038,400800
86,2,406075,408971,409299,411904,413584,414789,415058,416205,400825,405594
87,2,410862,413755,414084,416692,418372,419570,419839,420986,405617,410386
