t,cpuusage,avgtasktime,maxtasktime
1,14,323,954
2,16,334,698
3,15,359,1279
4,21,321,860
5,15,329,587
6,13,327,1096
7,15,345,625
8,21,335,884
9,18,349,889
10,14,348,593
11,16,331,852
12,16,316,1066
13,16,330,864
14,18,340,581
15,16,327,598
16,14,323,1064
17,19,327,885
18,19,315,885
19,14,337,597
20,15,336,606
21,15,323,746
22,18,335,895
23,12,331,874
24,14,326,898
25,14,334,580
26,17,330,632
27,15,325,589
28,12,347,584
29,16,325,581
30,16,333,596
31,16,334,587
32,15,324,646
33,17,319,596
34,13,353,1411
35,18,330,583
36,13,320,939
37,15,315,876
38,16,323,600
39,16,342,604
40,16,338,850
41,15,335,946
42,16,330,881
43,13,304,738
44,17,336,1689
45,13,329,918
46,13,325,884
47,13,324,605
48,15,305,618
49,16,322,591
50,14,327,583
51,22,323,850
52,18,329,580
53,14,319,666
54,14,325,601
55,14,320,864
56,16,314,592
57,17,326,639
58,12,319,1673
59,12,307,590
60,14,324,586
61,15,315,592
62,17,304,592
63,15,303,593
64,16,310,850
65,16,328,890
66,11,326,582
67,15,327,585
68,17,327,586
69,14,325,581
70,15,325,586
71,18,327,594
72,17,347,478
73,14,347,608
74,15,329,592
75,14,327,871
76,15,322,587
77,15,316,975
78,16,300,742
79,21,316,744
80,13,322,574
81,17,324,590
82,14,322,570
83,14,319,667
84,15,315,940
85,16,318,582
86,15,324,738
87,12,300,582
88,13,300,589
89,12,320,884
90,13,323,595
91,16,325,597
92,13,328,596
93,14,324,606
94,14,336,1156
95,15,334,874
96,13,328,580
97,9,309,600
98,16,300,595
99,12,299,595
100,11,314,653
101,11,323,579
102,14,322,588
103,12,317,604
104,14,347,436
105,14,346,454
106,17,348,430
107,18,349,474
108,15,348,496
109,15,349,476
110,15,346,428
111,14,345,458
112,14,343,423
113,17,345,426
114,17,344,422
115,15,345,485
116,16,356,1502
117,15,344,425
118,16,346,1092
119,14,324,585
120,16,323,582
121,15,326,646
122,15,333,589
123,15,313,592
124,17,320,587
125,16,328,684
126,18,345,444
127,15,346,419
128,16,345,431
129,16,345,497
130,15,344,426
131,16,345,416
132,16,345,542
133,16,344,422
134,15,330,640
135,14,323,584
136,15,325,608
137,16,323,759
138,17,346,423
139,15,347,419
140,13,350,934
141,14,343,417
142,14,338,576
143,13,310,742
144,15,325,578
145,18,324,727
146,17,300,741
147,17,298,722
148,16,311,943
149,17,323,616
150,16,324,731
151,18,310,808
152,17,302,670
153,15,326,604
154,18,330,588
155,19,333,626
156,15,332,640
157,17,320,591
158,17,303,596
159,18,302,590
160,16,303,596
161,16,304,590
162,18,309,594
163,17,329,588
164,14,325,583
165,15,324,870
166,15,323,580
167,14,325,660
168,14,322,582
169,15,323,581
170,15,324,621
171,14,305,589
172,14,305,591
173,14,320,843
174,11,341,584
175,11,363,1217
176,14,348,502
177,11,348,479
178,14,348,486
179,12,345,433
180,11,345,419
181,13,345,415
182,12,341,578
183,11,326,878
184,13,336,886
185,12,315,1081
186,20,303,751
187,17,304,752
188,17,309,749
189,16,325,580
190,18,322,586
191,18,323,578
192,18,323,661
193,15,325,586
194,15,323,584
195,15,320,586
196,15,325,600
197,18,323,591
198,17,326,877
199,15,340,1109
200,20,347,429
201,13,349,431
202,14,344,565
203,14,326,581
204,15,323,588
205,17,327,604
206,16,321,571
207,15,307,594
208,15,302,591
209,16,302,595
210,16,303,602
211,14,305,660
212,16,303,592
213,14,303,595
214,16,303,608
215,16,299,618
216,14,305,604
217,15,302,590
218,15,320,842
219,15,320,578
220,15,328,696
221,11,343,617
222,12,323,581
223,10,325,628
