timestamp,cpu_timer_user,cpu_timer_sys,cpu_timer_idle,cpu_timer_nice,cpu_timer_iowait,cpu_timer_irq,cpu_timer_softirq,disk_counter_read_bytes,disk_counter_written_bytes,disk_counter_num_reads,disk_counter_num_writes,disk_timer_reading,disk_timer_writing,net_counter_bytes_rx,net_counter_bytes_tx,net_counter_packets_rx,net_counter_packets_tx,net_counter_error_rx,net_counter_error_tx,net_counter_dropped_rx,net_counter_dropped_tx,mem_available,mem_total
1504109089.82,24.67,43.02,370440.21,0.55,54.33,0.0,0.33,329702400,55508992,18222,2028,508276,28964,7685980,295012,41788,1728,0,0,0,0,29155696640,29503254528
1504109090.93,24.83,43.08,370443.87,0.55,54.76,0.0,0.33,335141888,55508992,18412,2028,508960,28964,7811842,398588,42217,2136,0,0,0,0,29146537984,
1504109092.03,24.95,43.18,370447.24,0.55,55.51,0.0,0.34,343534592,56946688,18728,2032,509644,29040,7895750,478922,42583,2507,0,0,0,0,29138866176,
1504109093.13,25.34,43.24,370450.9,0.55,55.73,0.0,0.36,347855872,56946688,18787,2032,509772,29040,8017043,588992,43180,3109,0,0,0,0,29133680640,
1504109094.24,25.36,43.24,370455.27,0.55,55.73,0.0,0.36,347855872,56946688,18787,2032,509772,29040,8057942,599420,43313,3263,0,0,0,0,29133807616,
1504109095.34,25.37,43.24,370459.63,0.55,55.73,0.0,0.36,347855872,56946688,18787,2032,509772,29040,8098332,609560,43443,3413,0,0,0,0,29133807616,
1504109096.44,25.39,43.25,370464.0,0.55,55.73,0.0,0.36,347855872,56946688,18787,2032,509772,29040,8138722,619766,43573,3564,0,0,0,0,29133807616,
1504109097.55,25.4,43.25,370468.36,0.55,55.73,0.0,0.36,347855872,56946688,18787,2032,509772,29040,8179465,629972,43704,3715,0,0,0,0,29133807616,
1504109098.65,25.4,43.26,370472.68,0.55,55.77,0.0,0.36,347855872,57012224,18787,2034,509772,29096,8220011,640334,43836,3868,0,0,0,0,29133799424,
1504109099.75,25.41,43.26,370477.06,0.55,55.77,0.0,0.36,347855872,57012224,18787,2034,509772,29096,8260401,650540,43966,4019,0,0,0,0,29133807616,
1504109100.85,25.42,43.26,370481.42,0.55,55.77,0.0,0.36,347855872,57012224,18787,2034,509772,29096,8300791,660680,44096,4169,0,0,0,0,29133807616,
1504109101.96,25.43,43.26,370485.78,0.55,55.77,0.0,0.36,347855872,57012224,18787,2034,509772,29096,8341851,671150,44231,4324,0,0,0,0,29133807616,
1504109103.06,25.44,43.26,370490.15,0.55,55.77,0.0,0.36,347855872,57012224,18787,2034,509772,29096,8382241,681356,44361,4475,0,0,0,0,29133807616,
1504109104.16,25.44,43.26,370494.52,0.55,55.77,0.0,0.36,347855872,57012224,18787,2034,509772,29096,8422691,691496,44492,4625,0,0,0,0,29133807616,
1504109105.27,25.45,43.26,370498.87,0.55,55.77,0.0,0.36,347855872,58978304,18787,2239,509772,32976,8463650,701924,44626,4779,0,0,0,0,29133807616,
1504109106.37,25.46,43.27,370503.24,0.55,55.77,0.0,0.36,347855872,58978304,18787,2239,509772,32976,8504100,712064,44757,4929,0,0,0,0,29133750272,
1504109107.47,25.47,43.27,370507.61,0.55,55.77,0.0,0.36,347855872,58978304,18787,2239,509772,32976,8544550,722270,44888,5080,0,0,0,0,29133750272,
1504109108.58,25.49,43.28,370511.97,0.55,55.77,0.0,0.36,347855872,58978304,18787,2239,509772,32976,8585353,732476,45020,5231,0,0,0,0,29133750272,
1504109109.68,25.5,43.28,370516.33,0.55,55.77,0.0,0.36,347855872,58998784,18787,2244,509772,32976,8625899,742838,45152,5384,0,0,0,0,29133750272,
