sn,inspection_result,sta1_arr,sta1_dep,sta2_arr,sta2_dep,sta3_arr,sta3_dep,sta4_arr,sta4_dep,sta6_arr,sta6_dep
1,2,1004,2313,2643,5253,6916,8123,8387,9541,0,529
2,2,4208,7090,7422,10036,11713,12913,13180,14328,553,3733
3,2,8992,11881,12211,14819,16510,17703,17970,19119,3757,8513
4,2,13776,16674,17004,19605,21274,22472,22739,23886,8537,13296
5,2,18564,21445,21774,24379,26069,27263,27530,28677,13321,18087
6,2,23337,26230,26562,29169,30846,32043,32309,33455,18111,22862
7,2,28128,31011,31342,33949,35629,36832,37099,38242,22886,27649
8,2,32905,35792,36122,38729,40413,41611,41878,43027,27671,32427
9,2,37687,40583,40913,43519,45204,46412,46677,47824,32449,37212
10,2,42478,45372,45704,48312,49993,51189,51456,52602,37236,41999
11,2,47270,50162,50493,53097,54779,55981,56250,57401,42024,46793
12,2,52055,54949,55281,57888,59570,60778,61044,62191,46817,51580
13,2,56847,59743,60074,62681,64372,65574,65841,66990,51603,56371
14,2,61638,64536,64866,67474,69165,70366,70634,71780,56397,61162
15,2,66432,69326,69659,72271,73950,75157,75422,76575,61185,65954
16,2,71229,74115,74445,77050,78742,79944,80209,81356,65979,70748
17,2,76010,78904,79234,81844,83527,84733,84998,86145,70772,75533
18,2,80802,83697,84027,86633,88312,89515,89781,90924,75556,80323
19,2,85591,88478,88808,91409,93099,94300,94567,95718,80348,85110
20,2,90369,93264,93595,96201,97883,99081,99348,100497,85134,89893
21,2,95159,98054,98385,100996,102676,103880,104146,105292,89916,94682
22,2,99951,102846,103176,105778,107469,108668,108935,110084,94707,99473
23,2,104739,107633,107963,110575,112255,113457,113722,114875,99496,104263
24,2,109532,112425,112756,115364,117046,118247,118513,119665,104288,109052
25,2,114322,117216,117548,120155,121835,123036,123303,124454,109077,113841
26,2,119112,122006,122337,124947,126629,127827,128094,129241,113864,118637
27,2,123905,126801,127132,129748,131438,132642,132908,134052,118660,123429
28,2,128703,131602,131932,134533,136215,137414,137681,138830,123455,128224
29,2,133494,136387,136717,139327,141007,142211,142478,143617,128248,133019
30,2,138283,141177,141506,144121,145800,147000,147267,148422,133043,137806
31,2,143074,145963,146294,148904,150583,151787,152054,153196,137829,142596
32,2,147863,150757,151089,153701,155391,156589,156856,158005,142622,147383
33,2,152659,155553,155883,158497,160188,161389,161655,162813,147407,152181
34,2,157455,160350,160681,163289,164969,166168,166435,167584,152206,156974
35,2,162249,165132,165462,168063,169739,170935,171200,172343,156996,161770
36,2,167020,169906,170238,172848,174528,175732,175999,177144,161792,166545
37,2,171804,174690,175018,177626,179305,180502,180768,181914,166569,171325
38,2,176584,179478,179810,182424,184103,185303,185570,186715,171351,176105
39,2,181380,184266,184597,187205,188892,190095,190362,191509,176128,180902
40,2,186164,189056,189386,191998,193690,194890,195157,196300,180926,185685
41,2,190956,193853,194182,196789,198469,199667,199934,201082,185709,190478
42,2,195745,198633,198963,201575,203263,204469,204736,205881,190502,195270
43,2,200529,203426,203753,206357,208038,209240,209506,210652,195296,200050
44,2,205318,208213,208544,211148,212831,214025,214292,215439,200075,204840
45,2,210104,213000,213330,215935,217616,218814,219082,220228,204863,209629
46,2,214893,217787,218117,220717,222393,223592,223859,225006,209654,214414
47,2,219677,222560,222890,225501,227181,228385,228652,229800,214438,219202
48,2,224458,227354,227685,230298,231990,233192,233457,234606,219227,223979
49,2,229257,232153,232483,235091,236773,237973,238240,239383,224003,228775
