t,cpuusage,avgtasktime,maxtasktime
1,16,318,580
2,16,309,922
3,15,339,868
4,16,337,713
5,16,315,597
6,17,328,577
7,17,333,682
8,16,312,922
9,15,326,855
10,13,315,885
11,16,323,883
12,12,316,752
13,15,323,597
14,15,335,584
15,16,336,1248
16,15,319,876
17,16,325,891
18,13,336,610
19,17,306,867
20,14,331,970
21,13,329,879
22,17,328,845
23,14,331,675
24,12,326,607
25,21,337,583
26,16,324,582
27,17,324,611
28,20,341,576
29,13,317,749
30,16,312,877
31,14,309,877
32,12,318,895
33,17,342,564
34,14,332,599
35,15,342,1110
36,12,341,645
37,14,321,730
38,15,338,855
39,13,333,665
40,15,344,579
41,17,322,1071
42,16,305,1053
43,14,319,652
44,14,334,874
45,14,339,600
46,14,351,665
47,15,328,590
48,16,334,877
49,14,340,594
50,11,345,610
51,14,356,1083
52,18,331,594
53,19,328,913
54,16,319,876
55,16,317,852
56,16,311,865
57,16,314,637
58,19,310,846
59,15,319,704
60,11,321,857
61,12,323,608
62,12,335,1687
63,12,317,834
64,16,313,719
65,14,316,860
66,13,325,579
67,14,329,870
68,16,327,595
69,15,333,580
70,13,334,579
71,16,348,466
72,14,348,526
73,14,348,532
74,14,355,1515
75,13,316,888
76,16,322,590
77,13,350,427
78,11,346,564
79,14,343,571
80,16,321,578
81,17,314,736
82,14,322,588
83,10,324,581
84,16,323,578
85,9,325,579
86,10,326,667
87,10,321,592
88,10,322,589
89,10,326,748
90,12,318,875
91,17,323,587
92,16,326,728
93,14,299,748
94,12,300,754
95,14,317,742
96,12,324,633
97,15,325,603
98,17,313,745
99,16,304,747
100,15,324,579
101,18,312,988
102,17,321,581
103,14,325,750
104,16,313,958
105,12,316,1731
106,10,327,1306
107,14,332,624
108,13,326,574
109,13,322,618
110,13,318,570
111,12,319,580
112,14,320,571
113,15,319,577
114,16,318,566
115,18,328,889
116,12,327,701
117,15,325,620
118,12,325,595
119,11,327,585
120,12,329,678
121,12,326,644
122,11,324,581
123,11,314,1139
124,16,302,591
125,13,304,636
126,11,300,589
127,13,301,591
128,11,300,587
129,12,308,593
130,17,321,587
131,22,324,590
132,22,323,628
133,19,324,593
134,22,326,605
135,16,341,593
136,14,345,464
137,16,335,643
138,16,323,596
139,14,323,588
140,18,325,660
141,15,321,584
142,13,322,585
143,14,322,586
144,14,323,588
145,12,321,582
146,14,323,592
147,14,322,583
148,14,324,631
149,15,324,581
150,13,326,606
151,14,337,592
152,15,304,748
153,14,301,755
154,14,300,750
155,15,299,749
156,12,301,878
157,13,304,752
158,13,317,575
159,16,302,591
160,13,304,593
161,12,325,682
162,12,335,583
163,15,336,636
164,11,336,624
165,17,330,628
166,11,327,617
167,13,329,664
168,12,321,581
169,11,317,657
170,12,312,927
171,14,311,589
172,18,326,607
173,18,327,669
174,12,334,1018
175,14,325,580
176,14,325,861
177,13,314,863
178,15,302,667
179,18,301,588
180,12,303,595
181,21,303,592
182,11,304,669
183,12,303,593
184,17,304,596
185,13,349,1487
186,13,342,920
187,19,325,656
188,17,333,662
189,15,345,519
190,15,345,435
191,14,345,503
192,16,347,584
193,17,344,427
194,19,337,574
195,16,324,574
196,15,325,623
197,16,321,868
198,17,343,576
199,15,326,636
200,15,318,756
201,16,322,748
202,13,326,590
203,17,327,585
204,15,327,586
205,17,327,582
206,15,324,581
207,16,328,580
208,15,324,583
209,12,324,582
210,12,323,590
211,12,326,583
212,11,322,599
213,13,322,598
214,10,323,584
215,12,328,577
216,13,324,579
217,12,325,590
218,12,331,992
219,12,313,915
220,17,315,1033
221,18,314,891
222,16,318,909
223,14,318,1661
224,13,308,918
225,15,312,859
226,14,326,595
227,14,326,631
228,17,330,687
229,16,324,626
230,15,326,588
231,12,325,662
232,12,339,648
233,18,326,639
234,16,321,584
235,18,321,650
236,15,335,1691
237,16,347,1702
238,13,324,580
239,15,324,585
240,17,322,583
241,17,303,588
242,16,303,590
243,20,326,585
244,15,325,682
245,16,322,596
246,15,331,588
247,15,326,854
248,13,316,881
249,12,303,751
250,11,319,743
251,12,324,576
252,12,324,579
253,13,324,571
254,12,326,589
255,15,323,578
256,12,320,571
257,15,322,569
258,12,322,592
259,18,325,591
260,15,323,641
261,16,324,593
262,14,327,594
263,15,328,594
264,16,322,600
265,15,321,585
266,14,330,592
267,14,350,548
268,14,347,483
269,16,349,660
270,15,346,666
271,15,346,467
272,15,345,456
273,16,358,1119
274,15,346,491
275,15,350,467
276,15,354,466
277,17,356,544
278,14,333,644
279,22,303,879
280,17,324,830
281,13,324,876
282,15,347,466
283,15,348,493
284,14,347,482
285,14,348,491
286,14,347,542
287,14,347,550
288,13,332,592
289,14,324,857
290,13,323,579
291,14,321,585
292,15,324,666
293,15,322,658
294,15,318,733
295,16,322,890
296,13,331,581
297,16,343,419
298,11,345,458
299,12,345,482
300,12,344,425
301,13,344,477
302,16,344,450
303,11,344,420
304,11,344,470
305,12,346,428
306,16,343,575
307,12,323,589
308,12,325,582
309,12,346,427
310,16,348,539
311,15,348,530
312,16,347,508
313,15,330,575
314,14,341,594
315,16,331,584
316,15,324,779
317,16,323,579
318,13,314,590
319,16,319,590
320,17,302,761
321,14,303,944
322,12,316,749
323,14,324,578
324,14,325,588
325,15,324,582
326,14,326,587
327,16,331,931
328,13,328,742
329,16,308,877
330,17,333,594
331,13,334,667
