timestamp,cpu_timer_user,cpu_timer_sys,cpu_timer_idle,cpu_timer_nice,cpu_timer_iowait,cpu_timer_irq,cpu_timer_softirq,disk_counter_read_bytes,disk_counter_written_bytes,disk_counter_num_reads,disk_counter_num_writes,disk_timer_reading,disk_timer_writing,net_counter_bytes_rx,net_counter_bytes_tx,net_counter_packets_rx,net_counter_packets_tx,net_counter_error_rx,net_counter_error_tx,net_counter_dropped_rx,net_counter_dropped_tx,mem_available,mem_total
1504125765.16,9.68,7.76,9165.53,0.0,16.9,0.0,0.38,209918976,12066816,8797,961,307696,13344,927194,378961,5455,2065,0,0,0,0,29194633216,29503254528
1504125766.26,9.89,7.83,9169.01,0.0,17.45,0.0,0.42,218180608,12066816,9247,961,310092,13344,1045238,475541,5919,2531,0,0,0,0,29183524864,
1504125767.36,10.07,7.9,9172.49,0.0,18.05,0.0,0.44,229026816,12066816,9564,961,311244,13344,1155271,586303,6466,3084,0,0,0,0,29177749504,
1504125768.47,10.32,7.95,9176.5,0.0,18.08,0.0,0.45,229026816,12066816,9564,961,311244,13344,1248758,637852,6789,3411,0,0,0,0,29173219328,
1504125769.57,10.32,7.95,9180.88,0.0,18.08,0.0,0.45,229026816,12066816,9564,961,311244,13344,1270283,644428,6864,3507,0,0,0,0,29173096448,
1504125770.67,10.33,7.96,9185.24,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1291808,650938,6939,3602,0,0,0,0,29173104640,
1504125771.78,10.35,7.96,9189.62,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1313852,657736,7017,3701,0,0,0,0,29173104640,
1504125772.88,10.36,7.96,9194.0,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1335377,664246,7092,3796,0,0,0,0,29173104640,
1504125773.98,10.36,7.96,9198.37,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1356902,670822,7167,3892,0,0,0,0,29173104640,
1504125775.09,10.37,7.97,9202.76,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1378583,677554,7244,3990,0,0,0,0,29173104640,
1504125776.19,10.37,7.97,9207.14,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1400108,684064,7319,4085,0,0,0,0,29173104640,
1504125777.29,10.39,7.98,9211.51,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1421633,690640,7394,4181,0,0,0,0,29173104640,
1504125778.4,10.4,7.98,9215.9,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1443314,697372,7471,4279,0,0,0,0,29173104640,
1504125779.5,10.41,7.99,9220.28,0.0,18.12,0.0,0.45,229026816,12128256,9564,963,311244,13376,1465202,703948,7547,4375,0,0,0,0,29173104640,
1504125780.6,10.42,7.99,9224.66,0.0,18.12,0.0,0.45,229026816,12136448,9564,965,311244,13376,1486727,710458,7622,4470,0,0,0,0,29173104640,
1504125781.7,10.42,7.99,9229.03,0.0,18.12,0.0,0.45,229026816,12136448,9564,965,311244,13376,1508252,716968,7697,4565,0,0,0,0,29173104640,
